pdb_id;experimental method;resolution;number of models;nbr of chain;chain:length;HETATM:Occ;chn:UniProtId:pos
3ZK6;X-RAY DIFFRACTION;2.48;NA;2;A:144/B:144;H1I:2;A:Q07817:1-40
3ZK6;X-RAY DIFFRACTION;2.48;NA;2;A:144/B:144;H1I:2;A:Q07817:1-40
1R2E;X-RAY DIFFRACTION;2.1;NA;1;A:143;NA;A:Q07817:1-211
3CVA;X-RAY DIFFRACTION;2.7;NA;1;X:141;NA;X:Q07817:1-211
1MAZ;X-RAY DIFFRACTION;2.2;NA;1;A:143;NA;A:Q07817:1-209
1R2G;X-RAY DIFFRACTION;2.7;NA;1;A:143;NA;A:Q07817:1-211
1R2H;X-RAY DIFFRACTION;2.2;NA;1;A:142;NA;A:Q07817:1-211
1R2D;X-RAY DIFFRACTION;1.95;NA;1;A:142;NA;A:Q07817:1-211
3ZLR;X-RAY DIFFRACTION;2.03;NA;2;A:146/B:144;SO4:3/X0B:2/EDO:2;A:Q07817:1-26
6UVE;X-RAY DIFFRACTION;2.87;NA;3;A:133/B:134/C:148;EDO:1/QHV:3;A:Q07817:1-26
6UVE;X-RAY DIFFRACTION;2.87;NA;3;A:133/B:134/C:148;EDO:1/QHV:3;A:Q07817:1-26
5FMK;X-RAY DIFFRACTION;1.73;NA;2;A:150/B:21;GOL:4;A:Q07817:1-26
4Z9V;X-RAY DIFFRACTION;2.1;NA;8;A:153/B:151/C:15/D:16/E:21/F:20/G:21/H:21;NA:2/BCT:2;A:Q07817:1-26
4Z9V;X-RAY DIFFRACTION;2.1;NA;8;A:153/B:151/C:15/D:16/E:21/F:20/G:21/H:21;NA:2/BCT:2;A:Q07817:1-26
4A1U;X-RAY DIFFRACTION;1.54;NA;2;A:150/B:13;SO4:1/B3E:2/HT7:1/NH2:1/HR7:1/CL:2/ACE:1/B3A:1;A:Q07817:1-26
4QVE;X-RAY DIFFRACTION;2.05;NA;2;A:136/B:28;IMD:1;A:Q07817:1-209
2B48;X-RAY DIFFRACTION;3.45;NA;1;A:143;NA;A:Q07817:1-211
5B1Z;X-RAY DIFFRACTION;2.15;NA;4;A:144/B:144/C:16/D:18;NA;A:Q07817:1-209
5B1Z;X-RAY DIFFRACTION;2.15;NA;4;A:144/B:144/C:16/D:18;NA;A:Q07817:1-209
6ST2;X-RAY DIFFRACTION;1.79;NA;4;A:143/B:142/C:87/D:87;SO4:1;A:Q07817:1-209
5FMJ;X-RAY DIFFRACTION;2.43;NA;2;A:153/B:24;EDO:4;A:Q07817:1-26
6UVF;X-RAY DIFFRACTION;2.24;NA;12;A:145/B:144/C:142/D:144/E:139/F:140/G:139/H:142/I:138/J:144/K:147/L:140;SO4:22/EDO:7/QHS:12;A:Q07817:1-26
6ST2;X-RAY DIFFRACTION;1.79;NA;4;A:143/B:142/C:87/D:87;SO4:1;A:Q07817:1-209
2P1L;X-RAY DIFFRACTION;2.5;NA;8;A:141/B:24/C:141/D:24/E:141/F:24/G:141/H:24;NA;A:Q07817:1-26
2P1L;X-RAY DIFFRACTION;2.5;NA;8;A:141/B:24/C:141/D:24/E:141/F:24/G:141/H:24;NA;A:Q07817:1-26
3FDM;X-RAY DIFFRACTION;2.26;NA;6;A:147/B:146/C:141/D:10/E:10/F:10;EDO:11/XPC:3/NH2:3/B3L:3/ACE:1/XCP:9;A:Q07817:1-26
2P1L;X-RAY DIFFRACTION;2.5;NA;8;A:141/B:24/C:141/D:24/E:141/F:24/G:141/H:24;NA;A:Q07817:1-26
2P1L;X-RAY DIFFRACTION;2.5;NA;8;A:141/B:24/C:141/D:24/E:141/F:24/G:141/H:24;NA;A:Q07817:1-26
3R85;X-RAY DIFFRACTION;1.95;NA;8;A:138/B:138/C:139/D:139/E:20/F:21/G:19/H:19;SO4:1;A:Q07817:1-26
3R85;X-RAY DIFFRACTION;1.95;NA;8;A:138/B:138/C:139/D:139/E:20/F:21/G:19/H:19;SO4:1;A:Q07817:1-26
3QKD;X-RAY DIFFRACTION;2.02;NA;2;A:140/B:142;CL:1/HI0:2/GOL:1;A:Q07817:1-209
6YLI;X-RAY DIFFRACTION;1.9;NA;4;A:155/B:24/C:153/D:23;SO4:9;A:Q07817:1-209
2YXJ;X-RAY DIFFRACTION;2.2;NA;2;A:137/B:142;CL:1/GOL:1/N3C:2;A:Q07817:1-44
3QKD;X-RAY DIFFRACTION;2.02;NA;2;A:140/B:142;CL:1/HI0:2/GOL:1;A:Q07817:1-209
6YLI;X-RAY DIFFRACTION;1.9;NA;4;A:155/B:24/C:153/D:23;SO4:9;A:Q07817:1-209
7XGF;X-RAY DIFFRACTION;1.9;NA;6;A:162/B:151/C:148/D:162/E:151/F:144;NA;NA
7XGF;X-RAY DIFFRACTION;1.9;NA;6;A:162/B:151/C:148/D:162/E:151/F:144;NA;NA
3ZLO;X-RAY DIFFRACTION;2.6;NA;1;A:142;X8U:1;A:Q07817:1-44
3ZLN;X-RAY DIFFRACTION;2.29;NA;1;A:144;SO4:1/H0Y:1/EDO:5;A:Q07817:1-44
7XGG;X-RAY DIFFRACTION;1.9;NA;6;B:145/A:162/F:148/D:162/C:147/E:146;MSE:13;B:Q07817:1-44
7XGG;X-RAY DIFFRACTION;1.9;NA;6;B:145/A:162/F:148/D:162/C:147/E:146;MSE:13;B:Q07817:1-44
7XGG;X-RAY DIFFRACTION;1.9;NA;6;B:145/A:162/F:148/D:162/C:147/E:146;MSE:13;B:Q07817:1-44
3PL7;X-RAY DIFFRACTION;2.61;NA;3;A:141/C:26/B:141;NA;A:Q07817:1-209
7XGF;X-RAY DIFFRACTION;1.9;NA;6;A:162/B:151/C:148/D:162/E:151/F:144;NA;NA
7XGF;X-RAY DIFFRACTION;1.9;NA;6;A:162/B:151/C:148/D:162/E:151/F:144;NA;NA
3WIZ;X-RAY DIFFRACTION;2.45;NA;2;A:141/B:141;LC6:2/PO4:2;A:Q07817:1-44
3WIZ;X-RAY DIFFRACTION;2.45;NA;2;A:141/B:141;LC6:2/PO4:2;A:Q07817:1-44
7XGG;X-RAY DIFFRACTION;1.9;NA;6;B:145/A:162/F:148/D:162/C:147/E:146;MSE:13;B:Q07817:1-44
3PL7;X-RAY DIFFRACTION;2.61;NA;3;A:141/C:26/B:141;NA;A:Q07817:1-209
3SP7;X-RAY DIFFRACTION;1.4;NA;1;A:150;ACT:3/ZN:4/03B:1;A:Q07817:1-44
6RNU;X-RAY DIFFRACTION;2.4;NA;2;A:142/B:142;BR:1/KBH:2;A:Q07817:1-209
